product_id,product_name,product_category,product_image,product_deeplink
pulsego-s25-044,Tekniikan alan fysiikan tehovalmennus,Tekniikka,https://www.xamk.fi/app/uploads/sites/2/2025/08/Tekniikan-alan-fysiikka-PulseGO-syksy-2025.jpg,https://koulutuskalenteri.xamk.fi/avoimen-amkn-kurssit/pulsego-tekniikan-alan-fysiikan-tehovalmennus-verkossa-nonstop-aloitus-3-op/?utm_source=adform&utm_medium=display&utm_campaign=2025_pulse_elo-lokakuu&utm_content=tekniikka
pulsego-s25-045,Kemian ABC – alkeet haltuun,Tekniikka,https://www.xamk.fi/app/uploads/sites/2/2025/08/Kemian-ABC-PulseGO-syksy-2025.jpg,https://koulutuskalenteri.xamk.fi/avoimen-amkn-kurssit/pulsego-kemian-abc-alkeet-haltuun-nonstop-aloitus-3-op/?utm_source=adform&utm_medium=display&utm_campaign=2025_pulse_elo-lokakuu&utm_content=tekniikka
pulsego-s25-046,Kohti insinööri (AMK) -opintoja,Tekniikka,https://www.xamk.fi/app/uploads/sites/2/2025/08/Kohti-insinooriopintoja-PulseGO-syksy-2025.jpg,https://koulutuskalenteri.xamk.fi/avoimen-amkn-kurssit/pulsego-kohti-insinoori-amk-opintoja/?utm_source=adform&utm_medium=display&utm_campaign=2025_pulse_elo-lokakuu&utm_content=tekniikka
pulsego-s25-047,Rakenteellinen paloturvallisuus ja palotekniset laitteistot,Tekniikka,https://www.xamk.fi/app/uploads/sites/2/2025/08/Rakenteellinen-paloturvallisuus-PulseGO-syksy-2025.jpg,https://koulutuskalenteri.xamk.fi/avoimen-amkn-kurssit/pulsego-rakenteellinen-paloturvallisuus-ja-palotekniset-laitteistot-nonstop-aloitus-5-op/?utm_source=adform&utm_medium=display&utm_campaign=2025_pulse_elo-lokakuu&utm_content=tekniikka
pulsego-s25-048,Olutkoulu,Vapaa-aika,https://www.xamk.fi/app/uploads/sites/2/2025/08/Olutkoulu-PulseGO-syksy-2025.jpg,https://koulutuskalenteri.xamk.fi/avoimen-amkn-kurssit/pulsego-olutkoulu-nonstop-aloitus-3-op/?utm_source=adform&utm_medium=display&utm_campaign=2025_pulse_elo-lokakuu&utm_content=vapaa-aika
pulsego-s25-049,Viinikoulu,Vapaa-aika,https://www.xamk.fi/app/uploads/sites/2/2025/08/Viinikoulu-PulseGO-syksy-2025.jpg,https://koulutuskalenteri.xamk.fi/avoimen-amkn-kurssit/pulsego-viinikoulu-nonstop-aloitus-3-op/?utm_source=adform&utm_medium=display&utm_campaign=2025_pulse_elo-lokakuu&utm_content=vapaa-aika
pulsego-s25-050,Kehity kartanlukijana - opi suunnistamaan!,Vapaa-aika,https://www.xamk.fi/app/uploads/sites/2/2025/08/Kehity-kartanlukijana-PulseGO-syksy-2025.jpg,https://koulutuskalenteri.xamk.fi/avoimen-amkn-kurssit/pulsego-kehity-kartanlukijana-opi-suunnistamaan-nonstop-aloitus-2-op/?utm_source=adform&utm_medium=display&utm_campaign=2025_pulse_elo-lokakuu&utm_content=vapaa-aika
pulsego-s25-051,Suokasvit,Vapaa-aika,https://www.xamk.fi/app/uploads/sites/2/2025/08/Suokasvit-PulseGO-syksy-2025.jpg,https://koulutuskalenteri.xamk.fi/avoimen-amkn-kurssit/pulsego-suokasvit-nonstop-aloitus-2-op/?utm_source=adform&utm_medium=display&utm_campaign=2025_pulse_elo-lokakuu&utm_content=vapaa-aika
pulsego-s25-052,Digitaalinen pukusuunnittelu ja valmistus,Vapaa-aika,https://www.xamk.fi/app/uploads/sites/2/2025/08/Pukusuunnittelu-PulseGO-syksy-2025.jpg,https://koulutuskalenteri.xamk.fi/avoimen-amkn-kurssit/pulsego-digitaalinen-pukusuunnittelu-ja-valmistus-nonstop-aloitus-5-op/?utm_source=adform&utm_medium=display&utm_campaign=2025_pulse_elo-lokakuu&utm_content=vapaa-aika
pulsego-s25-053,Kiertotalous,Vapaa-aika,https://www.xamk.fi/app/uploads/sites/2/2025/08/Kiertotalous-PulseGO-syksy-2025.jpg,https://koulutuskalenteri.xamk.fi/avoimen-amkn-kurssit/pulsego-kiertotalous-nonstop-aloitus-5-op/?utm_source=adform&utm_medium=display&utm_campaign=2025_pulse_elo-lokakuu&utm_content=vapaa-aika
pulsego-s25-054,Demokratiakasvatus,Vapaa-aika,https://www.xamk.fi/app/uploads/sites/2/2025/08/Demokratia-kasvatus-PulseGO-syksy-2025.jpg,https://koulutuskalenteri.xamk.fi/avoimen-amkn-kurssit/pulsego-demokratiakasvatus-nonstop-aloitus-5-op/?utm_source=adform&utm_medium=display&utm_campaign=2025_pulse_elo-lokakuu&utm_content=vapaa-aika
